Date,Tests,ConfirmedCases,Deaths
2020-01-08,1,0,
2020-01-09,1,0,
2020-01-10,1,0,
2020-01-11,1,0,
2020-01-12,1,0,
2020-01-13,1,0,
2020-01-14,1,0,
2020-01-15,1,0,
2020-01-16,1,0,
2020-01-17,3,0,
2020-01-18,3,0,
2020-01-19,3,0,
2020-01-20,4,0,
2020-01-21,4,0,
2020-01-22,5,1,
2020-01-23,5,1,
2020-01-24,5,1,
2020-01-25,5,1,
2020-01-26,5,1,
2020-01-27,6,2,
2020-01-28,6,2,
2020-01-29,6,2,
2020-01-30,7,2,
2020-01-31,7,2,
2020-02-01,8,2,
2020-02-02,8,2,
2020-02-03,4,0,
2020-02-04,6,0,
2020-02-05,6,0,
2020-02-06,11,0,
2020-02-07,22,0,
2020-02-08,44,0,
2020-02-09,61,0,
2020-02-10,61,0,
2020-02-11,62,0,
2020-02-12,63,0,
2020-02-13,64,0,
2020-02-14,71,0,
2020-02-15,80,0,
2020-02-16,87,0,
2020-02-17,95,0,
2020-02-18,99,0,
2020-02-19,106,0,
2020-02-20,111,0,
2020-02-21,114,0,
2020-02-22,125,0,
2020-02-23,133,0,
2020-02-24,137,0,
2020-02-25,147,0,
2020-02-26,163,0,
2020-02-27,258,1,
2020-02-28,294,1,0
2020-02-29,333,1,0
2020-03-01,354,1,0
2020-03-02,397,1,0
2020-03-03,447,1,0
2020-03-04,479,2,0
2020-03-05,512,2,0
2020-03-06,524,2,0
2020-03-07,526,4,0
2020-03-08,527,5,0
2020-03-09,536,8,0
2020-03-10,591,20,0
2020-03-11,696,35,0
2020-03-12,847,60,0
2020-03-13,1053,88,0
2020-03-14,1176,107,0
2020-03-15,1346,139,0
2020-03-16,1539,176,3
2020-03-17,2200,213,3
2020-03-18,2395,249,3
2020-03-19,2785,309,6
2020-03-20,3217,382,8
2020-03-21,3679,457,15
2020-03-22,4039,533,20
2020-03-23,4581,666,24
2020-03-24,5255,807,33
2020-03-25,5944,997,43
2020-03-26,6609,1174,54
2020-03-27,7273,1367,64
2020-03-28,7730,1534,79
2020-03-29,8225,1693,97
2020-03-30,9115,2036,113
2020-03-31,9882,2313,128
2020-04-01,10759,2640,149
2020-04-02,11607,2976,177
2020-04-03,12411,3306,206
2020-04-04,13078,3588,237
2020-04-05,13579,3811,267
2020-04-06,14393,4194,287
2020-04-07,15264,4580,319
2020-04-08,16180,4966,361
2020-04-09,17082,5357,404
2020-04-10,17816,5665,429
2020-04-11,18417,5912,460
2020-04-12,18984,6159,504
2020-04-13,19618,6432,547
2020-04-14,20377,6749,573
2020-04-15,21377,7110,611
2020-04-16,22382,7473,646
2020-04-17,23386,7797,675
2020-04-18,24137,8044,707
2020-04-19,24705,8225,733
2020-04-20,25603,8506,758
2020-04-21,26619,8765,788
2020-04-22,27549,9018,811
2020-04-23,28518,9219,829
2020-04-24,29547,9432,860
2020-04-25,30196,9568,889
2020-04-26,30738,9689,905
2020-04-27,31696,9861,921
2020-04-28,32723,10014,936
2020-04-29,33872,10190,962
2020-04-30,35127,10390,978
2020-05-01,36605,10566,1007
2020-05-02,37796,10745,1021
2020-05-03,38543,10850,1035
2020-05-04,39649,10989,1058
2020-05-05,41072,11164,1075
2020-05-06,42624,11335,1098
2020-05-07,44084,11511,1117
2020-05-08,45265,11626,1130
2020-05-09,46367,11762,1137
2020-05-10,47491,11869,1147
